x,z,y
101.04,50.80,8.00
101.32,51.18,8.00
101.68,51.54,8.00
102.03,51.89,8.00
102.38,52.24,8.00
102.74,52.60,8.00
103.09,52.95,8.00
103.45,53.31,8.00
103.80,53.66,8.00
104.15,54.01,8.00
104.51,54.37,8.00
104.99,54.40,8.00
105.36,54.08,8.00
105.71,53.73,8.00
106.07,53.37,8.00
106.42,53.02,8.00
106.77,52.67,8.00
107.13,52.31,8.00
107.48,51.96,8.00
107.83,51.61,8.00
108.19,51.25,8.00
108.54,50.90,8.00
108.90,50.54,8.00
109.25,50.19,8.00
109.60,49.84,8.00
109.96,49.48,8.00
110.04,49.02,8.00
110.04,48.52,8.00
110.04,48.02,8.00
110.04,47.52,8.00
110.04,47.02,8.00
110.04,46.52,8.00
110.04,46.02,8.00
110.04,45.52,8.00
110.04,45.02,8.00
110.04,44.52,8.00
110.04,44.02,8.00
110.04,43.52,8.00
110.04,43.02,8.00
110.04,42.52,8.00
110.04,42.02,8.00
110.04,41.52,8.00
110.04,41.02,8.00
110.04,40.52,8.00
110.04,40.02,8.00
110.04,39.52,8.00
110.04,39.02,8.00
110.04,38.52,8.00
110.04,38.02,8.00
110.04,37.52,8.00
110.04,37.02,8.00
110.04,36.52,8.00
110.04,36.02,8.00
110.04,35.52,8.00
110.04,35.02,8.00
110.04,34.52,8.00
110.04,34.02,8.00
110.04,33.52,8.00
110.04,33.02,8.00
110.04,32.52,8.00
110.04,32.02,8.00
110.04,31.52,8.00
110.04,31.02,8.00
110.04,30.52,8.00
110.04,30.02,8.00
110.04,29.52,8.00
110.04,29.02,8.00
110.04,28.52,8.00
110.04,28.02,8.00
110.04,27.52,8.00
110.04,27.02,8.00
110.04,26.52,8.00
110.04,26.02,8.00
110.04,25.52,8.00
110.04,25.02,8.00
110.04,24.52,8.00
110.04,24.02,8.00
110.04,23.52,8.00
110.04,23.02,8.00
110.04,22.52,8.00
110.04,22.02,8.00
110.04,21.52,8.00
110.04,21.02,8.00
110.04,20.52,8.00
110.04,20.02,8.00
110.04,19.52,8.00
110.04,19.02,8.00
110.31,18.63,8.00
110.71,18.40,8.00
111.21,18.40,8.00
111.71,18.40,8.00
112.21,18.40,8.00
112.71,18.40,8.00
113.21,18.40,8.00
113.71,18.40,8.00
114.21,18.40,8.00
114.71,18.40,8.00
115.21,18.40,8.00
115.71,18.40,8.00
116.21,18.40,8.00
116.71,18.40,8.00
117.16,18.52,8.00
117.52,18.88,8.00
117.87,19.23,8.00
118.22,19.58,8.00
118.58,19.94,8.00
118.93,20.29,8.00
119.28,20.64,8.00
119.54,21.04,8.00
119.54,21.54,8.00
119.54,22.04,8.00
119.54,22.54,8.00
119.54,23.04,8.00
119.54,23.54,8.00
119.54,24.04,8.00
119.54,24.54,8.00
119.54,25.04,8.00
119.54,25.54,8.00
119.54,26.04,8.00
119.54,26.54,8.00
119.54,27.04,8.00
119.54,27.54,8.00
119.54,28.04,8.00
119.54,28.54,8.00
119.54,29.04,8.00
119.54,29.54,8.00
119.54,30.04,8.00
119.54,30.54,8.00
119.54,31.04,8.00
119.54,31.54,8.00
119.54,32.04,8.00
119.54,32.54,8.00
119.54,33.04,8.00
119.54,33.54,8.00
119.54,34.04,8.00
119.54,34.54,8.00
119.54,35.04,8.00
119.54,35.54,8.00
119.54,36.04,8.00
119.54,36.54,8.00
119.54,37.04,8.00
119.54,37.54,8.00
119.54,38.04,8.00
119.54,38.54,8.00
119.54,39.04,8.00
119.54,39.54,8.00
119.54,40.04,8.00
119.54,40.54,8.00
119.54,41.04,8.00
