x,z
3.962741699796952588e+01,1.700000000000000000e+01
3.912741699796952588e+01,1.700000000000000000e+01
3.873654403270941060e+01,1.726345596729058940e+01
3.838299064211613398e+01,1.761700935788386246e+01
3.802943725152286447e+01,1.797056274847713553e+01
3.767588386092958785e+01,1.832411613907040859e+01
3.732233047033631834e+01,1.867766952966368521e+01
3.700000000000000000e+01,1.904415587728428250e+01
3.700000000000000000e+01,1.954415587728428250e+01
3.700000000000000000e+01,2.004415587728428250e+01
3.700000000000000000e+01,2.054415587728428250e+01
3.700000000000000000e+01,2.104415587728428250e+01
3.700000000000000000e+01,2.154415587728428250e+01
3.700000000000000000e+01,2.204415587728428250e+01
3.700000000000000000e+01,2.254415587728428250e+01
3.700000000000000000e+01,2.304415587728428250e+01
3.700000000000000000e+01,2.354415587728428250e+01
3.700000000000000000e+01,2.404415587728428250e+01
3.700000000000000000e+01,2.454415587728428250e+01
3.700000000000000000e+01,2.504415587728428250e+01
3.700000000000000000e+01,2.554415587728428250e+01
3.700000000000000000e+01,2.604415587728428250e+01
3.700000000000000000e+01,2.654415587728428250e+01
3.700000000000000000e+01,2.704415587728428250e+01
3.700000000000000000e+01,2.754415587728428250e+01
3.700000000000000000e+01,2.804415587728428250e+01
3.700000000000000000e+01,2.854415587728428250e+01
3.700000000000000000e+01,2.904415587728428250e+01
3.700000000000000000e+01,2.954415587728428250e+01
3.700000000000000000e+01,3.004415587728428250e+01
3.700000000000000000e+01,3.054415587728428250e+01
3.700000000000000000e+01,3.104415587728428250e+01
3.700000000000000000e+01,3.154415587728428250e+01
3.700000000000000000e+01,3.204415587728428250e+01
3.700000000000000000e+01,3.254415587728428250e+01
3.700000000000000000e+01,3.304415587728428250e+01
3.700000000000000000e+01,3.354415587728428250e+01
3.700000000000000000e+01,3.404415587728428250e+01
3.700000000000000000e+01,3.454415587728428250e+01
3.700000000000000000e+01,3.504415587728428250e+01
3.700000000000000000e+01,3.554415587728428250e+01
3.700000000000000000e+01,3.604415587728428250e+01
3.700000000000000000e+01,3.654415587728428250e+01
3.700000000000000000e+01,3.704415587728428250e+01
3.700000000000000000e+01,3.754415587728428250e+01
3.700000000000000000e+01,3.804415587728428250e+01
3.700000000000000000e+01,3.854415587728428250e+01
3.700000000000000000e+01,3.904415587728428250e+01
3.700000000000000000e+01,3.954415587728428250e+01
3.700000000000000000e+01,4.004415587728428250e+01
3.700000000000000000e+01,4.054415587728428250e+01
3.700000000000000000e+01,4.104415587728428250e+01
3.700000000000000000e+01,4.154415587728428250e+01
3.700000000000000000e+01,4.204415587728428250e+01
3.700000000000000000e+01,4.254415587728428250e+01
3.703122292025695828e+01,4.303122292025695828e+01
3.738477631085022779e+01,4.338477631085022779e+01
3.773832970144350440e+01,4.373832970144350440e+01
3.809188309203678102e+01,4.409188309203678102e+01
3.844543648263005053e+01,4.444543648263005053e+01
3.879898987322332715e+01,4.479898987322332715e+01
3.915254326381659666e+01,4.515254326381659666e+01
3.950609665440987328e+01,4.550609665440987328e+01
3.985965004500314279e+01,4.585965004500314279e+01
4.021320343559641941e+01,4.621320343559641941e+01
4.056675682618969603e+01,4.656675682618969603e+01
4.092031021678296554e+01,4.692031021678296554e+01
4.127386360737624216e+01,4.727386360737624216e+01
4.162741699796951167e+01,4.762741699796951167e+01
4.198097038856278829e+01,4.798097038856278829e+01
4.233452377915605780e+01,4.833452377915605780e+01
4.268807716974933442e+01,4.868807716974933442e+01
4.305887450304570763e+01,4.900000000000000000e+01
4.355887450304570763e+01,4.900000000000000000e+01
4.405887450304570052e+01,4.900000000000000000e+01
4.455887450304570052e+01,4.900000000000000000e+01
4.505887450304570052e+01,4.900000000000000000e+01
4.555887450304570052e+01,4.900000000000000000e+01
4.605887450304570052e+01,4.900000000000000000e+01
4.655887450304570052e+01,4.900000000000000000e+01
4.705887450304570052e+01,4.900000000000000000e+01
4.755887450304570052e+01,4.900000000000000000e+01
4.805887450304570052e+01,4.900000000000000000e+01
4.855887450304570052e+01,4.900000000000000000e+01
4.905887450304570052e+01,4.900000000000000000e+01
4.955887450304570052e+01,4.900000000000000000e+01
5.005887450304570052e+01,4.900000000000000000e+01
5.055887450304570052e+01,4.900000000000000000e+01
5.105887450304570052e+01,4.900000000000000000e+01
5.155887450304570052e+01,4.900000000000000000e+01
5.205887450304570052e+01,4.900000000000000000e+01
5.255887450304570052e+01,4.900000000000000000e+01
5.305887450304570052e+01,4.900000000000000000e+01
5.355887450304570052e+01,4.900000000000000000e+01
5.405887450304570052e+01,4.900000000000000000e+01
5.455887450304570052e+01,4.900000000000000000e+01
5.505887450304570052e+01,4.900000000000000000e+01
5.555887450304570052e+01,4.900000000000000000e+01
5.605887450304570052e+01,4.900000000000000000e+01
5.655887450304570052e+01,4.900000000000000000e+01
5.705887450304570052e+01,4.900000000000000000e+01
5.755887450304570052e+01,4.900000000000000000e+01
5.805887450304570052e+01,4.900000000000000000e+01
5.855887450304570052e+01,4.900000000000000000e+01
5.905887450304570052e+01,4.900000000000000000e+01
5.955887450304570052e+01,4.900000000000000000e+01
6.005887450304570052e+01,4.900000000000000000e+01
6.055887450304570052e+01,4.900000000000000000e+01
6.105887450304570052e+01,4.900000000000000000e+01
6.155887450304570052e+01,4.900000000000000000e+01
6.205887450304570052e+01,4.900000000000000000e+01
6.255887450304570052e+01,4.900000000000000000e+01
6.304163056034260393e+01,4.904163056034260393e+01
6.339518395093588055e+01,4.939518395093588055e+01
6.374873734152915006e+01,4.974873734152915006e+01
6.410229073212242668e+01,5.010229073212242668e+01
6.445584412271570329e+01,5.045584412271570329e+01
6.480939751330897991e+01,5.080939751330897280e+01
6.516295090390225653e+01,5.116295090390224942e+01
